_id,Acousticness,Danceability,Energy,Instrumentalness,MusicalKey,Liveness,Speechiness,Valence,Tag_id
184,0.876,0.106,0.108,0.901,8.0,0.122,0.035,0.122,2
185,0.902,0.274,0.0417,0.903,0.0,0.112,0.034,0.0613,2
186,0.992,0.157,0.151,0.969,4.0,0.17,0.0424,0.0379,2
187,0.931,0.314,0.111,0.954,0.0,0.132,0.0325,0.0391,2
188,0.989,0.378,0.0071,0.884,10.0,0.398,0.0362,0.197,2
189,0.959,0.176,0.134,0.977,10.0,0.0995,0.0405,0.0546,2
190,0.93,0.318,0.0466,0.936,1.0,0.201,0.0347,0.0384,2
191,0.978,0.116,0.00408,0.883,3.0,0.116,0.0565,0.0323,2
192,0.977,0.351,0.129,0.882,6.0,0.108,0.0337,0.244,2
193,0.971,0.581,0.284,0.942,0.0,0.19,0.0319,0.249,2
194,0.991,0.417,0.0173,0.863,8.0,0.108,0.0269,0.378,2
195,0.54,0.218,0.275,0.929,11.0,0.0651,0.037,0.0335,2
196,0.829,0.0924,0.048,0.896,0.0,0.104,0.0433,0.0482,2
197,0.977,0.0644,0.2,0.724,9.0,0.0899,0.0421,0.0385,2
198,0.926,0.241,0.0553,0.93,3.0,0.108,0.0336,0.0643,2
199,0.98,0.167,0.019,0.898,8.0,0.11,0.0393,0.118,2
200,0.896,0.199,0.117,0.93,7.0,0.0958,0.0416,0.0541,2
